Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Record ID
201603141951,1,new construction,03/14/2016,4591D,131,1,,Earl,St,,,"aka address 898 la salle ave. phrase 1b, building a. 
to erect 4 story, 1 basement, type va, 16 units residential building.
** maher: n/a **",issued,09/12/2017,03/14/2016,09/12/2017,,06/10/2021,,,4,,,08/12/2023,5000000,5000000,,,apartments,16,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94124,POINT (-122.37497470840634 37.72762845041594),1415843502419
200509152957,2,new construction wood frame,09/15/2005,3505,022,83,,Brady,St,,,to erect 5 stories of 6 dwelling residential units.,complete,04/02/2018,09/15/2005,05/06/2008,04/02/2018,,,,5,,,11/06/2010,1600000,1800000,,,apartments,6,2,,,,5,wood frame (5),,6,Mission,94103,POINT (-122.41984117848844 37.7726926891943),1028906156254
200509152957,2,new construction wood frame,09/15/2005,3505,022,85,,Brady,St,,,to erect 5 stories of 6 dwelling residential units.,complete,04/02/2018,09/15/2005,05/06/2008,04/02/2018,,,,5,,,11/06/2010,1600000,1800000,,,apartments,6,2,,,,5,wood frame (5),,6,Mission,94103,POINT (-122.41984117848844 37.7726926891943),1029071448035
200504059216,2,new construction wood frame,04/05/2005,1198,009,1610,,Hayes,St,,,erect 4 stories of 3 dwelling units with garage.,complete,12/19/2007,04/05/2005,01/19/2007,12/19/2007,,,,4,,,07/19/2009,1400000,1400000,,,apartments,3,2,,,,5,wood frame (5),Y,5,Lone Mountain/USF,94117,POINT (-122.44309269444369 37.774555496955315),101152892098
9419444S,2,new construction wood frame,11/28/1994,2923,007,36,,Edgehill,Wy,,,erect a two story single family dwelling,issued,07/24/2001,11/28/1994,07/24/2001,,,,,2,,,07/24/2003,200000,304000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,7,West of Twin Peaks,94127,POINT (-122.46116287831038 37.74307787102708),507410147212
9616469S,2,new construction wood frame,09/03/1996,3755,102,108,,Langton,St,,,to erect a new 4 unit condo building,reinstated,02/28/2002,09/03/1996,01/24/2002,,02/05/2002,,,3,,,01/24/2004,200000,450000,,,apartments,4,2,,,,5,wood frame (5),Y,6,South of Market,94103,POINT (-122.40813907008021 37.775908596864),587668166358
9621910S,2,new construction wood frame,11/12/1996,0105,028,1434,,Kearny,St,,,erect a three story two unit residential bldg,expired,09/07/2002,11/12/1996,03/18/2000,,,,,3,,,03/18/2002,722000,722000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,3,North Beach,94133,POINT (-122.40580757660756 37.8013599960444),807709386438
9621910S,2,new construction wood frame,11/12/1996,0105,028,1432,,Kearny,St,,,erect a three story two unit residential bldg,expired,09/07/2002,11/12/1996,03/18/2000,,,,,3,,,03/18/2002,722000,722000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,3,North Beach,94133,POINT (-122.40580757660756 37.8013599960444),793986379321
9702926S,2,new construction wood frame,02/19/1997,6494,069,345,,Guttenberg,St,,,.,complete,11/16/2001,02/19/1997,07/18/2000,11/16/2001,07/19/2000,,,2,,,07/18/2001,100000,160000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,11,Excelsior,94112,POINT (-122.44198762237528 37.70895964970252),823408387712
9703126S,2,new construction wood frame,02/21/1997,1843,034,1446,,11th,Av,,,erect 4-story 2 dwelling units,complete,02/07/2002,02/21/1997,02/27/2001,02/07/2002,02/27/2001,,,4,,,02/27/2003,40000,359100,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,7,Inner Sunset,94122,POINT (-122.46793019351014 37.7611985873274),608963116939
9704126S,2,new construction wood frame,03/06/1997,6203,002,96,,Alpha,St,,,erect four stories single family dwelling,expired,02/09/2009,11/25/2003,12/08/2003,,12/08/2003,,,4,,,12/08/2004,225000,225000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,10,Visitacion Valley,94134,POINT (-122.40372081032118 37.714666390120016),794699379727
9710066S,2,new construction wood frame,06/03/1997,0106,034A,22,,Alta,St,,,to erect 1 family dwelling (5 stories),cancelled,07/09/2008,06/03/1997,08/11/2001,,,,,5,,,08/11/2003,810000,810000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,3,North Beach,94133,POINT (-122.40361539854302 37.80183401233377),88521759113
9711381S,2,new construction wood frame,06/20/1997,3948,002A,1050,,17th,St,,,erect a 4 story 19 unit live/work structure,complete,04/16/2002,06/20/1997,07/10/2000,04/16/2002,,,,4,,,01/10/2003,450000,2380000,,,artist live/work,19,2,,,,5,wood frame (5),Y,10,Mission Bay,94107,POINT (-122.39449977209662 37.765668898749205),795441375746
9712318S,2,new construction wood frame,07/03/1997,3628,005,1026,,Church,St,,,erect a four story three unit residential bldg,issued,09/19/2001,07/03/1997,09/19/2001,,09/20/2001,,,4,,,09/19/2002,300000,300000,,,apartments,3,2,,,,5,wood frame (5),Y,8,Noe Valley,94114,POINT (-122.42804108868492 37.754392111655946),627090163068
9712479S,2,new construction wood frame,07/07/1997,4318,021,1588,,Indiana,St,,,erect 3 story 12 unit live-work building,complete,12/12/2003,03/21/2000,03/21/2000,12/12/2003,09/18/2001,,,3,,,03/21/2002,600000,979800,,,apartments,12,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94107,POINT (-122.39077723365224 37.75034642368597),795587380189
9714255S,2,new construction wood frame,07/30/1997,1458,014,469,,26th,Av,,,erect a 4 story 20 unit residential bldg,expired,07/31/2007,02/10/2004,06/15/2004,,10/20/2005,,,4,,,12/15/2006,1050000,2380000,,,apartments,18,2,,,,5,wood frame (5),,1,Outer Richmond,94121,POINT (-122.48617165770361 37.78071725953975),630209100554
9718416S,2,new construction wood frame,09/19/1997,5338,034,1775,,Quesada,Av,,,erect three story two family dwelling,complete,04/24/2002,09/19/1997,04/11/2000,04/24/2002,,,,3,,,04/11/2001,150000,240000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94124,POINT (-122.39297407973936 37.73390181471592),637530179974
9718416S,2,new construction wood frame,09/19/1997,5338,035,1771,,Quesada,Av,,,erect three story two family dwelling,complete,04/24/2002,09/19/1997,04/11/2000,04/24/2002,,,,3,,,04/11/2001,150000,240000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94124,POINT (-122.39290370426528 37.7338619377714),637531179975
20000129605,2,new construction wood frame,01/29/2000,1932,036,1618,,12th,Av,,,to erect 2 family dwelling 4 stories,complete,07/10/2001,01/29/2000,04/06/2000,07/10/2001,,,,4,,,04/06/2002,280000,398000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,7,Inner Sunset,94122,POINT (-122.46877511535064 37.757905800769606),767928121033
20000129604,2,new construction wood frame,01/29/2000,6504,031,39,,Homestead,St,,,erect a four story two family dwellinge,complete,04/11/2001,01/29/2000,07/19/2000,04/11/2001,,,,4,,,07/19/2002,350000,385000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,8,Noe Valley,94114,POINT (-122.4391565730031 37.75025279580736),767158349255
20000126344,2,new construction wood frame,01/26/2000,2378,039,2436,,Great,Hy,,,erect a 3-story 7 dwelling units,complete,05/01/2002,01/26/2000,12/13/2000,05/01/2002,01/10/2001,,,3,,,12/13/2002,500000,536920,,,apartments,7,2,,,,5,wood frame (5),Y,4,Sunset/Parkside,94116,POINT (-122.50635234805802 37.74110358956254),763343245290
9722338S,2,new construction wood frame,11/04/1997,6665,010,132,,Laidley,St,,,erect 3 story single family dwelling unit,complete,02/07/2005,05/03/2000,07/10/2003,02/07/2005,07/10/2003,,,3,,,07/10/2005,250000,348000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,8,Glen Park,94131,POINT (-122.43015433506369 37.73975052043957),644682210452
200002031007,2,new construction wood frame,02/03/2000,6278,003,620,,Vienna,St,,,erect a two story single family dwelling,complete,10/01/2001,02/03/2000,01/26/2001,10/01/2001,01/26/2001,,,2,,,01/26/2002,119000,119000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,11,Excelsior,94112,POINT (-122.43213054025833 37.718641615848085),803627199797
9800486S,2,new construction wood frame,01/12/1998,0804,007,814,,Hayes,St,,,erect a four story three unit residential bldg,complete,12/18/2001,01/12/1998,06/16/2000,12/18/2001,07/12/2000,,,4,,,06/16/2002,275000,388000,,,apartments,3,2,,,,5,wood frame (5),Y,5,Hayes Valley,94117,POINT (-122.42993271834821 37.776230648074915),65174781899
9801586S,2,new construction wood frame,02/03/1998,3967,001,2051,,Harrison,St,,,"erect a 4 story 20 unit live/work, retail, coml bldg",complete,02/02/2004,02/03/1998,01/05/2001,02/02/2004,01/04/2001,,,4,,,10/05/2004,1400000,3000000,,,artist live/work,20,4,,,,5,wood frame (5),Y,9,Mission,94110,POINT (-122.41270612086446 37.76481003960508),797216380991
9801587S,2,new construction wood frame,02/03/1998,3967,001,2001,,Harrison,St,,,"erect a 4  story 22 unit live/work, retail, coml bldg",complete,04/17/2003,02/03/1998,01/05/2001,04/17/2003,08/20/2001,,,4,,,10/05/2004,1800000,3800000,,,artist live/work,22,4,,,,5,wood frame (5),Y,9,Mission,94110,POINT (-122.41270612086446 37.76481003960508),797217380992
9801588S,2,new construction wood frame,02/03/1998,3967,001,2095,,Harrison,St,,,"erect a 4 story 22 unit live/work, retail coml bldg",complete,12/02/2005,02/03/1998,01/04/2001,12/02/2005,08/27/2003,,,4,,,10/04/2004,1800000,3800000,,,artist live/work,22,4,,,,1,constr type 1,Y,9,Mission,94110,POINT (-122.41270612086446 37.76481003960508),797218380993
9801703S,2,new construction wood frame,01/30/1998,3511,070,1025,,Minna,St,,,erect a three story twelve unit live/work bldg,complete,09/15/2003,01/30/1998,08/21/2000,09/15/2003,07/07/2000,,,3,,,05/15/2002,800000,1150000,,,artist live/work,12,2,,,,5,wood frame (5),Y,6,Mission,94103,POINT (-122.41689056866852 37.773398567666845),820662387418
9801703S,2,new construction wood frame,01/30/1998,3511,071,1025,,Minna,St,,,erect a three story twelve unit live/work bldg,complete,09/15/2003,01/30/1998,08/21/2000,09/15/2003,07/07/2000,,,3,,,05/15/2002,800000,1150000,,,artist live/work,12,2,,,,5,wood frame (5),Y,6,Mission,94103,POINT (-122.41683260369848 37.77344966700906),820664387419
9802085S,2,new construction wood frame,02/09/1998,2400,008,2447,,25th,Av,,,to erect 1 family dwelling,expired,06/14/2006,02/09/1998,10/30/2000,,11/02/2000,,,2,,,10/30/2002,200000,328000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,4,Sunset/Parkside,94116,POINT (-122.48238633363296 37.74185181458391),655014134447
9802877,2,new construction wood frame,02/20/1998,7056,047,738,,Capitol,Av,,,erect a three story single family dwelling,expired,03/13/2001,02/20/1998,03/13/2000,,,,,3,,,03/13/2001,80000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,11,Oceanview/Merced/Ingleside,94112,POINT (-122.4587465557332 37.71707191175423),797394381053
9803230,2,new construction wood frame,02/26/1998,3777,038,530,,Brannan,St,,,one stop - to erect 32 live works (4 stories),complete,12/12/2003,02/26/1998,07/27/2000,12/12/2003,09/11/2000,,,4,,,04/27/2004,50000,3000000,,,artist live/work,32,2,,,,5,wood frame (5),Y,6,South of Market,94107,POINT (-122.39754408690389 37.777989124721685),657290167415
9803954S,2,new construction wood frame,03/09/1998,1048,014,2734,,Bush,St,,,to erect a 4-story 2 family dwelling units,complete,06/10/2003,03/09/1998,05/17/2001,06/10/2003,05/17/2001,,,4,,,05/17/2003,275000,350000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,2,Pacific Heights,94115,POINT (-122.44245576704549 37.786161770320774),65838488204
9803954S,2,new construction wood frame,03/09/1998,1048,014,2736,,Bush,St,,,to erect a 4-story 2 family dwelling units,complete,06/10/2003,03/09/1998,05/17/2001,06/10/2003,05/17/2001,,,4,,,05/17/2003,275000,350000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,2,Pacific Heights,94115,POINT (-122.44245576704549 37.786161770320774),877536389817
9804165S,2,new construction wood frame,03/11/1998,0158,082,68,,Salmon,St,,,erect a four story six unit residential bldg,reinstated,08/07/2001,04/16/2000,12/27/2000,,01/10/2001,,,4,,,12/27/2002,500000,995300,,,apartments,6,2,,,,5,wood frame (5),Y,3,Nob Hill,94133,POINT (-122.4131649401095 37.796221082439075),797553350101
9804166S,2,new construction wood frame,03/11/1998,0158,082,1465,,Mason,St,,,erect a four story three unit residential bldg,issued,12/27/2000,03/11/1998,12/27/2000,,01/10/2001,,,4,,,12/27/2002,500000,677800,,,apartments,3,2,,,,5,wood frame (5),Y,3,Nob Hill,94133,POINT (-122.4131649401095 37.796221082439075),803498350090
9805512S,1,new construction,03/31/1998,4096,058,853,,De Haro,St,,,erect a four story two unit residential bldg,complete,06/30/2003,03/31/1998,01/05/2002,06/30/2003,01/07/2002,,,4,,,01/05/2003,249000,249000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,10,Potrero Hill,94107,POINT (-122.40073368833022 37.759036378101925),896443391164
9805512S,1,new construction,03/31/1998,4096,058,855,,De Haro,St,,,erect a four story two unit residential bldg,complete,06/30/2003,03/31/1998,01/05/2002,06/30/2003,01/07/2002,,,4,,,01/05/2003,249000,249000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,10,Potrero Hill,94107,POINT (-122.40073368833022 37.759036378101925),896444391165
9805569S,2,new construction wood frame,04/01/1998,1510,043,520,,35th,Av,,,erect three story single family dwelling,complete,02/27/2003,04/01/1998,09/27/2000,02/27/2003,,,,3,,,09/27/2002,280000,328000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,1,Outer Richmond,94121,POINT (-122.4950877382706 37.77914154646361),662279102223
9806356,2,new construction wood frame,04/14/1998,6573,001,3051,,Folsom,St,,,"(bldg 1,block 1) erect 3-story bldg.",complete,07/25/2002,04/14/1998,08/11/2000,07/25/2002,,,,3,,,02/11/2003,,1400000,,,apartments,12,2,,,,5,wood frame (5),,9,Mission,94110,POINT (-122.41263479523587 37.748866520203535),797771381218
9806357,2,new construction wood frame,04/14/1998,6573,001,3161,,Kamille,Ct,,,"(bldg 2,block 1) erect 3-story bldg.",complete,07/25/2002,04/14/1998,08/11/2000,07/25/2002,,,,3,,,02/11/2003,1150000,1150000,,,apartments,9,2,,,,5,wood frame (5),,9,Mission,94110,POINT (-122.41263479523587 37.748866520203535),797772381219
9806358,2,new construction wood frame,04/14/1998,6573,001,3151,,Kamille,Ct,,,"(bldg 3,block 1) erect 3-story bldg.",complete,07/25/2002,04/14/1998,08/30/2000,07/25/2002,,,,3,,,02/28/2003,1625000,1625000,,,apartments,14,2,,,,5,wood frame (5),,9,Mission,94110,POINT (-122.41263479523587 37.748866520203535),797773381220
9806359,2,new construction wood frame,04/14/1998,6573,001,3168,,Cesar Chavez,St,,,"(bldg 4,block 1) erect 3-story bldg.",complete,07/25/2002,04/14/1998,08/30/2000,07/25/2002,,,,3,,,02/28/2003,1150000,1150000,,,apartments,9,2,,,,5,wood frame (5),,9,Mission,94110,POINT (-122.41263479523587 37.748866520203535),797774381221
9806369,2,new construction wood frame,04/14/1998,6573,001,3148,,Kamille,Ct,,,"(bldg. 14, block 4) erect 3-story building",complete,09/13/2002,04/14/1998,08/30/2000,09/13/2002,,,,3,,,02/28/2003,1625000,1625000,,,apartments,14,2,,,,5,wood frame (5),,9,Mission,94110,POINT (-122.41263479523587 37.748866520203535),797783381230
9806369,2,new construction wood frame,04/14/1998,6573,001,3148,,Kamille,Ct,,,"(bldg. 14, block 4) erect 3-story building",complete,09/13/2002,04/14/1998,08/30/2000,09/13/2002,,,,3,,,02/28/2003,1625000,1625000,,,apartments,14,2,,,,5,wood frame (5),,9,Mission,94110,POINT (-122.41263479523587 37.748866520203535),823700381230
9806369,2,new construction wood frame,04/14/1998,6573,001,1301,,Treat,Wy,,,"(bldg. 14, block 4) erect 3-story building",complete,09/13/2002,04/14/1998,08/30/2000,09/13/2002,,,,3,,,02/28/2003,1625000,1625000,,,apartments,14,2,,,,5,wood frame (5),,9,Mission,94110,POINT (-122.41263479523587 37.748866520203535),823701387229
9806370,2,new construction wood frame,04/14/1998,6573,001,3111,,Kamille,Ct,,,"(bldg. 15, block 4) erect 3-story building",complete,09/13/2002,04/14/1998,08/30/2000,09/13/2002,,,,3,,,02/28/2003,1150000,1150000,,,apartments,9,2,,,,5,wood frame (5),,9,Mission,94110,POINT (-122.41263479523587 37.748866520203535),797784381231
9806371,2,new construction wood frame,04/14/1998,6573,001,3118,,Cesar Chavez,St,,,"(bldg. 17, block 4) erect 3-story building",complete,09/18/2002,04/14/1998,08/30/2000,09/18/2002,,,,3,,,02/28/2003,1150000,1150000,,,apartments,9,2,,,,5,wood frame (5),,9,Mission,94110,POINT (-122.41263479523587 37.748866520203535),797785381232
9806372,2,new construction wood frame,04/14/1998,6573,001,3050,,Harrison,St,,,"(bldg. 16, block 4) erect 3-story building",complete,09/18/2002,04/14/1998,08/30/2000,09/18/2002,,,,3,,,02/28/2003,1768000,1768000,,,apartments,15,2,,,,5,wood frame (5),,9,Mission,94110,POINT (-122.41263479523587 37.748866520203535),664026252146
9809942S,2,new construction wood frame,06/01/1998,2864,001,300,,Laguna Honda,Bl,,,erect a 4-story 22-residential units,complete,03/16/2004,01/08/2002,01/10/2002,03/16/2004,04/01/2002,,,4,,,10/10/2005,2200000,3967858,,,apartments,22,2,,,,5,wood frame (5),Y,7,West of Twin Peaks,94116,POINT (-122.45966708929784 37.74858586698849),671866146174
9810268S,2,new construction wood frame,06/04/1998,5963,016,2028,,Burrows,St,,,to erect a 3-story single family dwelling,issued,01/09/2001,06/04/1998,01/09/2001,,01/10/2001,,,3,,,01/09/2002,100000,170000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,11,Excelsior,94112,POINT (-122.42336813410937 37.72403267761215),672359192641
9811166S,2,new construction wood frame,06/16/1998,3511,075,9,,Lafayette,St,,,erect a four story three unit residential bldg,complete,10/10/2003,06/16/1998,11/21/2002,10/10/2003,11/25/2002,,,4,,,11/21/2004,350000,350000,,,apartments,3,2,,,,5,wood frame (5),Y,6,Mission,94103,POINT (-122.41733258922093 37.77365379193338),673933246523
9812711S,2,new construction wood frame,07/07/1998,3778,049,767,,Bryant,St,,,erect a three story thirty unit live/work bldg with garage,complete,11/20/2002,07/07/1998,06/15/2000,11/20/2002,11/17/2000,,,4,,,03/15/2004,2800000,3400000,,,artist live/work,30,2,,,,5,wood frame (5),Y,6,South of Market,94107,POINT (-122.40156368758312 37.776358132483466),840494387460
9812711S,2,new construction wood frame,07/07/1998,3778,049,767,,Bryant,St,,,erect a three story thirty unit live/work bldg with garage,complete,11/20/2002,07/07/1998,06/15/2000,11/20/2002,11/17/2000,,,4,,,03/15/2004,2800000,3400000,,,artist live/work,30,2,,,,5,wood frame (5),Y,6,South of Market,94107,POINT (-122.40156368758312 37.776358132483466),840495167451
9812711S,2,new construction wood frame,07/07/1998,3778,049,767,,Bryant,St,,,erect a three story thirty unit live/work bldg with garage,complete,11/20/2002,07/07/1998,06/15/2000,11/20/2002,11/17/2000,,,4,,,03/15/2004,2800000,3400000,,,artist live/work,30,2,,,,5,wood frame (5),Y,6,South of Market,94107,POINT (-122.40156368758312 37.776358132483466),840497387458
9813774S,2,new construction wood frame,07/20/1998,0494,012,1880,,Lombard,St,,,erect 3 story retail/27 unit residential bldg,complete,09/18/2001,03/14/2000,03/17/2000,09/18/2001,07/07/2000,,,3,,,12/17/2003,2500000,2500000,,,apartments,27,2,,,,1,constr type 1,Y,2,Marina,94123,POINT (-122.43246845401742 37.800607940702264),798666381657
9814948,2,new construction wood frame,08/03/1998,6221,002,500,,Raymond,Av,,,erect a three story ninety one unit residential bldg,complete,11/19/2002,08/03/1998,01/06/2000,11/19/2002,,,,3,,,01/06/2003,9100000,9100000,,,"day care, non-res",91,2,,,,5,wood frame (5),,10,McLaren Park,94134,POINT (-122.41252177637926 37.715638247572116),681160347256
9816500S,2,new construction wood frame,08/20/1998,3595,027,2331,,Mission,St,,,erect a four story six unit residential bldg with coml,complete,12/14/2000,01/28/2000,01/28/2000,12/14/2000,,,,4,,,07/28/2002,999000,1136000,,,apartments,6,2,,,,5,wood frame (5),Y,9,Mission,94110,POINT (-122.41879901285742 37.759698068091396),683893160746
9817702S,2,new construction wood frame,09/03/1998,3973,002E,475,,Hampshire,St,,,erect a four story six unit live/work bldg,complete,12/04/2001,09/03/1998,10/11/2000,12/04/2001,,,,4,,,04/11/2003,600000,1080000,,,artist live/work,6,4,,,,5,wood frame (5),Y,10,Mission,94110,POINT (-122.40810166682826 37.76338384664207),799076381897
9817703S,2,new construction wood frame,09/03/1998,2689,037,4733,,18th,St,,,erect a four story two unit residential bldg,complete,07/25/2002,09/03/1998,06/14/2000,07/25/2002,,,,4,,,06/14/2002,250000,358000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,8,Castro/Upper Market,94114,POINT (-122.44375536910654 37.75984242288252),799077141774
9818542S,2,new construction wood frame,09/16/1998,3575,068,3219,,17th,St,,,erect a two story two family dwelling,complete,10/11/2001,02/02/2000,03/29/2000,10/11/2001,05/19/2000,,,2,,,03/29/2002,250000,435000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,9,Mission,94110,POINT (-122.41782459973547 37.76330560533292),808931386555
9818581S,2,new construction wood frame,09/16/1998,3541,009,166,,Sanchez,St,,,to erect 3 stories of 8 dwelling over retail parking,complete,04/20/2001,09/16/1998,03/03/2000,04/20/2001,,,,4,,,09/03/2002,2244000,1150000,,,apartments,8,2,,,,5,wood frame (5),Y,8,Castro/Upper Market,94114,POINT (-122.43141102021002 37.76648905718728),688888157469
9819061S,2,new construction wood frame,09/22/1998,5981,019,237,,Girard,St,,,erect a three story two unit residential bldg,complete,05/04/2001,09/22/1998,06/30/2000,05/04/2001,07/12/2000,,,3,,,06/30/2002,150000,366000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,9,Portola,94134,POINT (-122.4051072230843 37.729410058646074),689479290720
9819061S,2,new construction wood frame,09/22/1998,5981,019,235,,Girard,St,,,erect a three story two unit residential bldg,complete,05/04/2001,09/22/1998,06/30/2000,05/04/2001,07/12/2000,,,3,,,06/30/2002,150000,366000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,9,Portola,94134,POINT (-122.4051072230843 37.729410058646074),822858387659
9820314S,2,new construction wood frame,10/06/1998,1082,013,922,,Presidio,Av,,,to erect 3 family dwelling & a commercial,complete,04/05/2002,10/06/1998,05/18/2000,04/05/2002,,,,4,,,05/18/2002,400000,660000,,,apartments,3,2,,,,5,wood frame (5),Y,2,Presidio Heights,94115,POINT (-122.44566664136244 37.7831707364691),86454689190
9821108S,2,new construction wood frame,10/15/1998,0596,026,1565,,Pacific,Av,,,erect a three story single family dwelling,complete,02/27/2003,03/20/2000,05/08/2000,02/27/2003,05/11/2000,,,4,,,05/08/2001,150000,300000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,3,Russian Hill,94109,POINT (-122.42090124511003 37.79483869043459),799402382075
9821278S,2,new construction wood frame,10/19/1998,1511,003,523,,33rd,Av,,,erect three story two family dwelling,expired,02/16/2001,10/19/1998,02/16/2000,,,,,3,,,02/16/2001,280000,,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,1,Outer Richmond,94121,POINT (-122.49359731042608 37.779140527148975),695272102236
9821667S,2,new construction wood frame,10/22/1998,5843,018,400,,Alemany,Bl,,,erect a two story 22 unit residential bldg,complete,05/29/2003,10/22/1998,12/11/2000,05/29/2003,08/17/2001,,,3,,,06/11/2003,1800000,1800000,,,apartments,22,2,,,,5,wood frame (5),Y,9,Bernal Heights,94110,POINT (-122.41460389722286 37.73308733765743),695801189301
9821667S,2,new construction wood frame,10/22/1998,5843,018,400,,Alemany,Bl,,,erect a two story 22 unit residential bldg,complete,05/29/2003,10/22/1998,12/11/2000,05/29/2003,08/17/2001,,,3,,,06/11/2003,1800000,1800000,,,apartments,22,2,,,,5,wood frame (5),Y,9,Bernal Heights,94110,POINT (-122.41460389722286 37.73308733765743),695802189302
9821966S,2,new construction wood frame,10/27/1998,4991,261,28,,Le Conte,Cr,,,erect a three story single family dwelling-(bldg 6),complete,07/10/2001,10/27/1998,09/11/2000,07/10/2001,,,,3,,,09/11/2001,125000,218000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94124,POINT (-122.3949646331604 37.71805929222314),829761349156
9821967S,2,new construction wood frame,10/27/1998,4991,007,38,,Le Conte,Cr,,,erect a three story single family dwelling-bldg 7,complete,07/10/2001,10/27/1998,09/11/2000,07/10/2001,,,,3,,,09/11/2001,125000,188000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94134,POINT (-122.39709902477324 37.708723913624794),829768349157
9821968S,2,new construction wood frame,10/27/1998,4991,008,48,,Le Conte,Cr,,,erect a three story single family dwelling-bldg 8,complete,07/10/2001,10/27/1998,09/11/2000,07/10/2001,,,,3,,,09/11/2001,125000,218000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94134,POINT (-122.39808081007112 37.70890530344826),829755349158
9823757S,2,new construction wood frame,11/17/1998,2749,022,398,,Eureka,St,,,to erect 3 stories 1 family dwelling,complete,04/20/2001,04/13/2000,04/14/2000,04/20/2001,05/01/2000,,,3,,,04/14/2001,275000,275000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,8,Castro/Upper Market,94114,POINT (-122.43806523407945 37.755630034954315),799700373853
9823843S,2,new construction wood frame,11/18/1998,1835,032,1456,,19th,Av,,,erect a four story two unit residential bldg,complete,03/21/2002,01/31/2000,06/20/2000,03/21/2002,06/26/2000,,,4,,,06/20/2002,380000,450000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,7,Inner Sunset,94122,POINT (-122.47656019313652 37.7606820137692),804836386232
9823843S,2,new construction wood frame,11/18/1998,1835,032,1454,,19th,Av,,,erect a four story two unit residential bldg,complete,03/21/2002,01/31/2000,06/20/2000,03/21/2002,06/26/2000,,,4,,,06/20/2002,380000,450000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,7,Inner Sunset,94122,POINT (-122.47656019313652 37.7606820137692),699826116530
9823847S,2,new construction wood frame,11/18/1998,1835,034,1448,,19th,Av,,,erect a four story two unit residential bldg,complete,04/04/2001,03/03/2000,03/23/2000,04/04/2001,03/31/2000,,,4,,,03/23/2002,350000,350000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,7,Inner Sunset,94122,POINT (-122.47657244310984 37.76081900277138),699830116532
9824128S,2,new construction wood frame,11/16/1998,0319,002,545,,Leavenworth,St,,,erect a four story  twelve unit residential bldg,complete,11/15/2001,05/16/2000,05/16/2000,11/15/2001,02/28/2001,,,4,,,11/16/2002,1500000,1500000,,,apartments,12,4,,,,5,wood frame (5),Y,6,Tenderloin,94109,POINT (-122.41495547851059 37.78611075884184),70014669432
9824087S,1,new construction,11/20/1998,3786,132,1,,Bluxome,St,,,erect a 7 story 54 unit live/work bldg with coml,complete,10/09/2003,11/20/1998,08/28/2000,10/09/2003,10/30/2000,,,7,,,02/28/2005,6000000,12000000,,,artist live/work,54,4,,,,1,constr type 1,Y,6,South of Market,94107,POINT (-122.39557791501602 37.777232631675375),828508388124
