Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Record ID
8811860,2,new construction wood frame,08/15/1988,0860,069,464,,Waller,St,,,erect a two story two unit residential bldg,complete,09/07/1990,08/15/1988,09/05/1989,09/07/1990,,,,2,,,189000,,,,2 family dwelling,2,2,,,,5,wood frame (5),,5,Hayes Valley,94117,20815083374
8812118,2,new construction wood frame,08/18/1988,3752,051,162,,Clara,St,,,erect a one story sheet metal shop,complete,01/08/1991,08/18/1988,01/27/1989,01/08/1991,,,,1,,,100000,,,,manufacturing,0,2,,,,5,wood frame (5),,6,South of Market,94107,208549166124
8811941,2,new construction wood frame,08/16/1988,2628,106,522,,Roosevelt,Wy,,,erect a three story two unit residential bldg,complete,01/07/1992,08/16/1988,10/16/1989,01/07/1992,,,,3,,,390000,,,,2 family dwelling,2,2,,,,5,wood frame (5),,8,Castro/Upper Market,94117,208249140165
8812028,2,new construction wood frame,08/17/1988,7048,020,82,,Caine,Av,,,erect a two story single family dwelling,complete,04/20/1990,08/17/1988,02/09/1989,04/20/1990,,,,2,,,132000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,11,Oceanview/Merced/Ingleside,94112,208401219137
8812330,2,new construction wood frame,08/23/1988,6713,043,2559,,Diamond,St,,,two story single family dwelling,complete,03/02/1990,08/23/1988,03/14/1989,03/02/1990,,,,2,,,120000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,8,Glen Park,94131,208828211107
8812293,2,new construction wood frame,08/22/1988,5308,013,1490,,Newcomb,Av,,,erect a two story single family dwelling,complete,02/04/1991,08/22/1988,09/20/1989,02/04/1991,,,,1,,,101000,,,,1 family dwelling,2,2,,,,5,wood frame (5),,10,Bayview Hunters Point,94124,208780178831
8812294,1,new construction,08/23/1988,5230,030,2248,,Jerrold,Av,9,,erect a one story warehouse,complete,03/19/1990,08/23/1988,02/21/1989,03/19/1990,,,,1,,,200000,,,,"warehouse, furniture",0,2,,,,2,constr type 2,,10,Bayview Hunters Point,94124,208782178029
8812294,1,new construction,08/23/1988,5230,031,2248,,Jerrold,Av,10,,erect a one story warehouse,complete,03/19/1990,08/23/1988,02/21/1989,03/19/1990,,,,1,,,200000,,,,"warehouse, furniture",0,2,,,,2,constr type 2,,10,Bayview Hunters Point,94124,208783178030
8812294,1,new construction,08/23/1988,5230,019,2248,,Jerrold,Av,,,erect a one story warehouse,complete,03/19/1990,08/23/1988,02/21/1989,03/19/1990,,,,1,,,200000,,,,"warehouse, furniture",0,2,,,,2,constr type 2,,,,94124,208784291378
8812295,1,new construction,08/23/1988,5230,022,2246,,Jerrold,Av,1,,erect a one story warehouse,complete,03/19/1990,08/23/1988,02/21/1989,03/19/1990,,,,1,,,200000,,,,"warehouse, furniture",0,2,,,,2,constr type 2,,10,Bayview Hunters Point,94124,861607178021
8812155,2,new construction wood frame,08/19/1988,6171,038,132,,Ward,St,,,erect a two story single family dwelling,complete,06/01/1989,08/19/1988,12/19/1988,06/01/1989,,,,2,,,174000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,10,Portola,94134,208585197506
8812156,2,new construction wood frame,08/19/1988,6171,039,138,,Ward,St,,,erect a two story single family dwelling,complete,12/19/1991,08/19/1988,12/19/1988,12/19/1991,,,,2,,,175000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,10,Portola,94134,208586197507
8812576,2,new construction wood frame,08/25/1988,0074,001,800,,Columbus,Av,,,erect a four story nine unit residential bldg with coml,cancelled,08/18/1993,08/25/1988,,,,,,4,,,780000,1340000,,,apartments,9,2,,,,5,wood frame (5),,3,North Beach,94133,209379347937
8812506,2,new construction wood frame,08/24/1988,3555,060,85,,Albion,St,,,three story three unit residential bldg,complete,11/28/1989,08/24/1988,03/30/1989,11/28/1989,,,,3,,,303000,,,,apartments,3,2,,,,5,wood frame (5),,8,Mission,94103,209256247197
8812507,2,new construction wood frame,08/24/1988,3555,061,81,,Albion,St,,,three story three unit residential bldg,complete,11/27/1989,08/24/1988,03/30/1989,11/27/1989,,,,3,,,303000,,,,apartments,3,2,,,,5,wood frame (5),,8,Mission,94103,209258247198
8812417,2,new construction wood frame,08/24/1988,0519,006,2917,,Octavia,St,,,erect a three story two unit residential bldg,complete,05/12/1992,08/24/1988,05/15/1990,05/12/1992,,,,3,,,422000,,,,2 family dwelling,2,2,,,,5,wood frame (5),,2,Marina,94123,20915972798
8812694,2,new construction wood frame,08/26/1988,0829,036,440,,Webster,St,,,erect a two story three unit residential bldg,complete,01/12/1990,08/26/1988,01/20/1989,01/12/1990,,,,2,,,260000,,,,apartments,3,2,,,,5,wood frame (5),,5,Hayes Valley,94102,86161482541
8812701,2,new construction wood frame,08/26/1988,3513,073,1360,,Stevenson,St,,,to erect storage shed,withdrawn,02/17/1989,08/26/1988,,,,,,1,,,2000,,,,storage shed,0,2,,,,5,wood frame (5),,6,Mission,94103,209624156475
8812719,2,new construction wood frame,08/30/1988,0860,066,250,,Laussat,St,,,erect a two story three unit residential bldg,complete,10/05/1989,08/30/1988,11/21/1988,10/05/1989,,,,2,,,333000,,,,apartments,3,2,,,,5,wood frame (5),,5,Hayes Valley,94117,86161683371
8812728,2,new construction wood frame,08/29/1988,4013,025,2375,,Mariposa,St,,,erect a two story two unit residential bldg,complete,09/17/1992,08/29/1988,12/20/1989,09/17/1992,,,,2,,,322000,,,,2 family dwelling,2,2,,,,5,wood frame (5),,10,Mission,94110,209661168776
8812730,2,new construction wood frame,08/29/1988,4013,026,2365,,Mariposa,St,,,erect a two story two unit residential bldg,issued,12/20/1989,08/29/1988,12/20/1989,,,,,2,,,178000,320000,,,2 family dwelling,2,2,,,,5,wood frame (5),,10,Mission,94110,209665168777
8812731,2,new construction wood frame,08/29/1988,4013,027,2345,,Mariposa,St,,,erect a two story two unit residential building,issued,12/20/1989,08/29/1988,12/20/1989,,,,,2,,,178000,320000,,,2 family dwelling,2,2,,,,5,wood frame (5),,10,Mission,94110,209666168778
8812739,2,new construction wood frame,08/29/1988,1591,009,650,,La Playa,,,,erect a three story single family dwelling,cancelled,10/05/1989,08/29/1988,,,,,,3,,,225000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,1,Outer Richmond,94121,774699362878
8813079,2,new construction wood frame,09/01/1988,6665,008,128,,Laidley,St,,,erect a one story garage,complete,06/15/1989,09/01/1988,11/02/1988,06/15/1989,,,,1,,,12000,,,,prkng garage/private,0,2,,,,5,wood frame (5),,8,Glen Park,94131,210147210450
8812888,2,new construction wood frame,08/30/1988,1098,044,2200,,Ofarrell,St,,,erecta one story trash/storage bldg,expired,03/04/1991,08/30/1988,11/18/1988,,,,,1,,,25000,,,,storage shed,0,2,,,,5,wood frame (5),,,,94115,774710367068
8812724S,1,new construction,08/29/1988,0029,007,555,,North Point,St,,,erect a five story 313 room hotel with retail,complete,04/03/1992,08/29/1988,10/28/1988,04/03/1992,,,,5,,,20000000,,,,tourist hotel/motel,313,2,,,,1,constr type 1,Y,3,North Beach,94133,20965456355
8812790,2,new construction wood frame,08/29/1988,3537,101,734,,14th,St,1,,erect a four story six unit residential bldg with commercial,complete,04/09/1990,08/29/1988,05/25/1989,04/09/1990,,,,4,,,400000,,,,apartments,6,2,,,,5,wood frame (5),,8,Castro/Upper Market,94114,861619157261
8812952,2,new construction wood frame,08/31/1988,4154,001,1001,,Potrero,Av,,,to erect a outpatient medical office,complete,08/08/1989,08/31/1988,09/28/1988,08/08/1989,,,,1,,,30000,,,,hospital,0,2,,,,5,wood frame (5),,10,Mission,94110,210018171456
8813154,2,new construction wood frame,09/02/1988,3785,017,635,,Brannan,St,,,erect a one story light industrial bldg,complete,08/13/1990,09/02/1988,02/14/1989,08/13/1990,,,,1,,,290000,,,,workshop commercial,0,4,,,,2,constr type 2,,6,Mission Bay,94107,210271167658
8813573,1,new construction,09/12/1988,3592,030,3101,,18th,St,,,office building,complete,01/09/1991,09/12/1988,11/23/1988,01/09/1991,,,,3,,,7765000,,,,office,0,4,,,,2,constr type 2,,9,Mission,94110,774789160651
8813574,1,new construction,09/12/1988,3592,030,3101,,18th,St,,,storage,complete,01/09/1991,09/12/1988,03/13/1989,01/09/1991,,,,1,,,235100,,,,storage shed,0,4,,,,5,wood frame (5),,9,Mission,94110,774790160651
8813580,1,new construction,09/12/1988,3592,031,2235,,Folsom,St,,,storage,complete,12/11/1990,09/12/1988,05/23/1989,12/11/1990,,,,1,,,9358,,,,storage shed,0,2,,,,3,constr type 3,,9,Mission,94110,210867160652
8813581,1,new construction,09/12/1988,3592,031,2295,,Folsom,St,,,storage,complete,12/11/1990,09/12/1988,03/13/1989,12/11/1990,,,,1,,,200500,,,,storage shed,0,4,,,,5,wood frame (5),,9,Mission,94110,774793367116
8813803,2,new construction wood frame,09/15/1988,0660,055,80,,Wilmot,St,,,3 stories single family dwelling,cancelled,08/17/1990,09/15/1988,,,,,,3,,,80000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,5,Pacific Heights,94115,774811367133
8813875,2,new construction wood frame,09/16/1988,6489,027,517,,Brunswick,St,,,2 stories single family dwelling,complete,09/10/1990,09/16/1988,01/23/1990,09/10/1990,,,,2,,,150500,,,,1 family dwelling,1,2,,,,5,wood frame (5),,11,Excelsior,94112,211204204827
8814008,2,new construction wood frame,09/16/1988,3576,051,50,,Lexington,St,,,3 stories 3 units apt bldg.,cancelled,03/07/1991,09/16/1988,,,,,,3,,,250000,,,,apartments,3,2,,,,5,wood frame (5),,9,Mission,94110,211410159444
8814133,2,new construction wood frame,09/20/1988,5618,020,152,,Elsie,St,,,2 stories single family dwelling,cancelled,09/09/1992,09/20/1988,,,,,,2,,,142000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,9,Bernal Heights,94110,774845185063
8814309,2,new construction wood frame,09/21/1988,5935,046,110,,University,St,,,2 stories single family dwelling unit,withdrawn,02/09/1989,09/21/1988,,,,,,2,,,110000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,9,Excelsior,94134,211822191732
8814310,2,new construction wood frame,09/21/1988,5935,045,100,,University,St,,,2 stories single family dwelling unit,complete,06/30/1989,09/21/1988,02/06/1989,06/30/1989,,,,2,,,141000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,9,Excelsior,94134,211823191731
8814336,1,new construction,09/22/1988,5317,003,33,,Industrial,St,,,single story warehouse bldg,expired,09/12/1990,09/22/1988,02/07/1989,,,,,1,,,287000,,,,"warehouse,no frnitur",0,2,,,,2,constr type 2,,10,Bayview Hunters Point,94124,774861367178
8814526,2,new construction wood frame,09/23/1988,4343,026,2372,,Jerrold,Av,,,office,cancelled,03/28/1989,09/23/1988,,,,,,1,,,10000,,,,office,0,2,,,,5,wood frame (5),,10,Bayview Hunters Point,94124,774884365945
8814686,2,new construction wood frame,09/30/1988,4711,028,11,,Carpenter,Ct,,,2 stories single family dwelling units,complete,07/12/1990,09/30/1988,06/09/1989,07/12/1990,,,,2,,,165000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,10,Bayview Hunters Point,94124,212457174256
8814689,2,new construction wood frame,09/30/1988,4711,031,5,,Carpenter,Ct,,,2 stories single family dwelling units,complete,07/12/1990,09/30/1988,06/09/1989,07/12/1990,,,,2,,,180000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,10,Bayview Hunters Point,94124,212460174259
8814691,2,new construction wood frame,09/30/1988,4711,020,5,,Lindsay,Cr,,,2 stories single family dwelling units,complete,07/13/1990,09/30/1988,06/09/1989,07/13/1990,,,,2,,,180000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,10,Bayview Hunters Point,94124,212462174250
8814692,2,new construction wood frame,09/30/1988,4711,029,9,,Carpenter,Ct,,,2 stories single family dwelling units,complete,07/12/1990,09/30/1988,06/09/1989,07/12/1990,,,,2,,,180000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,10,Bayview Hunters Point,94124,212463174257
9019762S,2,new construction wood frame,09/26/1990,1842,016,1473,,11th,Av,,,to erect 2 family dwelling,complete,07/28/1992,09/26/1990,11/12/1991,07/28/1992,,,,3,,,300000,,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,,,94122,306164116873
8814703,2,new construction wood frame,09/28/1988,5290,056,1796,,La Salle,Av,,,erect a two story two unit residential bldg,complete,01/22/1993,09/28/1988,04/16/1992,01/22/1993,,,,2,,,95000,199300,,,2 family dwelling,2,2,,,,5,wood frame (5),,10,Bayview Hunters Point,94124,212474178518
8814712,2,new construction wood frame,09/28/1988,5290,057,1025,,Phelps,St,,,erect a two story two unit residential bldg,complete,01/22/1993,09/28/1988,04/14/1992,01/22/1993,,,,2,,,95000,199300,,,2 family dwelling,2,2,,,,5,wood frame (5),,10,Bayview Hunters Point,94124,212485178519
8814549,2,new construction wood frame,09/26/1988,3553,025,1917,,Mission,St,,,erect a four story ten unit residential bldg with commercial,complete,08/23/1990,09/26/1988,08/31/1989,08/23/1990,,,,4,,,948000,,,,apartments,10,2,,,,5,wood frame (5),,9,Mission,94103,212317158028
8814549,2,new construction wood frame,09/26/1988,3553,026,1917,,Mission,St,,,erect a four story ten unit residential bldg with commercial,complete,08/23/1990,09/26/1988,08/31/1989,08/23/1990,,,,4,,,948000,,,,apartments,10,2,,,,5,wood frame (5),,9,Mission,94103,212319247136
8814550,2,new construction wood frame,09/26/1988,3553,023,1933,,Mission,St,,,erect a four story ten unit residential bldg with commercial,complete,10/16/1990,09/26/1988,09/05/1989,10/16/1990,,,,4,,,951000,,,,apartments,10,2,,,,5,wood frame (5),,9,Mission,94103,212320158027
8814550,2,new construction wood frame,09/26/1988,3553,025,1933,,Mission,St,,,erect a four story ten unit residential bldg with commercial,complete,10/16/1990,09/26/1988,09/05/1989,10/16/1990,,,,4,,,951000,,,,apartments,10,2,,,,5,wood frame (5),,9,Mission,94103,212321247135
8602239,1,new construction,02/27/1986,3805,001,905,,6th,St,,,metal containers,expired,09/24/1989,02/27/1986,06/04/1986,,,,,,,,1000,,,,storage shed,0,0,,,,2,constr type 2,,,,,770512363016
8602240,1,new construction,02/27/1986,3805,001,905,,6th,St,,,metal containers,expired,09/24/1989,02/27/1986,06/04/1986,,,,,,,,1000,,,,storage shed,0,0,,,,2,constr type 2,,,,,770513363016
8814492,2,new construction wood frame,09/23/1988,1549,046,1535,,Anza,St,,,4 stories 3 apts bldg.,cancelled,07/02/1991,09/23/1988,,,,,,4,,,250000,,,,apartments,3,2,,,,5,wood frame (5),,1,Inner Richmond,94118,212104243341
8814859,2,new construction wood frame,09/30/1988,6712,030,85,,Arbor,St,,,erect a three story single family dwelling,expired,06/04/1992,09/30/1988,08/04/1989,,,,,3,,,250000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,8,Glen Park,94131,212697211053
8814766,2,new construction wood frame,09/29/1988,5290,047,1782,,La Salle,Av,,,erect a two story two unit residential bldg,expired,05/13/1993,09/29/1988,05/13/1992,,,,,2,,,90000,199300,,,2 family dwelling,2,2,,,,5,wood frame (5),,10,Bayview Hunters Point,94124,212557178509
8814769,2,new construction wood frame,09/29/1988,5290,054,1786,,La Salle,Av,,,erect a two story two unit residential bldg,expired,05/14/1993,09/29/1988,05/14/1992,,,,,2,,,95000,197500,,,2 family dwelling,2,2,,,,5,wood frame (5),,10,Bayview Hunters Point,94124,212560178516
8605184S,2,new construction wood frame,05/02/1986,3773,002,575,,1st,St,,,,complete,11/01/1988,05/02/1986,10/21/1986,11/01/1988,,,,4,,,2600000,,,,apartments,52,4,,,,5,wood frame (5),Y,,,,770784363316
8814673,2,new construction wood frame,09/30/1988,4711,024,8,,Lindsay,Cr,,,2 stories single family dwelling units,complete,07/13/1990,09/30/1988,06/09/1989,07/13/1990,,,,2,,,140000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,10,Bayview Hunters Point,94124,212444174252
8814675,2,new construction wood frame,09/30/1988,4711,026,4,,Lindsay,Cr,,,2 stories single family dwelling units,complete,07/12/1990,09/30/1988,06/09/1989,07/12/1990,,,,2,,,165000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,10,Bayview Hunters Point,94124,212446174254
8814677,2,new construction wood frame,09/30/1988,4711,027,2,,Lindsay,Cr,,,2 stories single family dwelling units,complete,07/12/1990,09/30/1988,06/09/1989,07/12/1990,,,,2,,,150000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,10,Bayview Hunters Point,94124,212448174255
8814678,2,new construction wood frame,09/30/1988,4711,023,10,,Lindsay,Cr,,,2 stories single family dwelling units,complete,07/13/1990,09/30/1988,06/09/1989,07/13/1990,,,,2,,,140000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,10,Bayview Hunters Point,94124,212449174251
8814679,2,new construction wood frame,09/30/1988,4711,025,6,,Lindsay,Cr,,,2 stories single family dwelling units,complete,07/13/1990,09/30/1988,06/09/1989,07/13/1990,,,,2,,,188000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,10,Bayview Hunters Point,94124,212450174253
8814680,2,new construction wood frame,09/30/1988,4711,034,2,,Carpenter,Ct,,,2 stories single family dwelling units,complete,07/11/1990,09/30/1988,06/09/1989,07/11/1990,,,,2,,,138000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,10,Bayview Hunters Point,94124,212451174262
8605230S,2,new construction wood frame,05/06/1986,3773,004,555,,1st,St,,,erect multi unit dwelling,complete,11/22/1989,05/06/1986,11/12/1987,11/22/1989,,,,4,,,4997000,,,,apartments,92,4,,,,4,constr type 4,Y,,,,770794363326
8814681,2,new construction wood frame,09/30/1988,4711,035,6,,Carpenter,Ct,,,2 stories single family dwelling units,complete,07/12/1990,09/30/1988,06/12/1989,07/12/1990,,,,2,,,140000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,10,Bayview Hunters Point,94124,212452174263
8814683,2,new construction wood frame,09/30/1988,4711,032,3,,Carpenter,Ct,,,2 stories single family dwelling units,complete,07/13/1990,09/30/1988,06/09/1989,07/13/1990,,,,2,,,150000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,10,Bayview Hunters Point,94124,212454174260
8814684,2,new construction wood frame,09/30/1988,4711,020,5,,Lindsay,Cr,,,2 stories single family dwelling units,complete,07/12/1990,09/30/1988,06/09/1989,07/12/1990,,,,2,,,180000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,10,Bayview Hunters Point,94124,212455174250
8605270S,1,new construction,05/06/1986,3773,004,555,,1st,St,,,erect garage,complete,09/11/1990,05/06/1986,11/12/1987,09/11/1990,,,,1,,,4630000,,,,prkng garage/public,0,4,,,,1,constr type 1,Y,,,,770799363326
8715617,1,new construction,10/29/1987,6423,009,1600,,Birchwood,Ct,,,carports,complete,09/21/1990,10/29/1987,04/21/1989,09/21/1990,,,,,,,65280,,,,prkng garage/private,0,2,,,,4,constr type 4,,,,,773146364976
8814797,2,new construction wood frame,09/30/1988,0742,009,770,,Van Ness,Av,,,erect four story 81 unit residential with commercial,complete,10/10/1990,09/30/1988,09/01/1989,10/10/1990,,,,4,,,2100000,,,,apartments,18,2,,,,5,wood frame (5),,6,Tenderloin,94102,774912367213
8814826,2,new construction wood frame,09/29/1988,1523,042,418,,22nd,Av,,,erect a three story three unit residential bldg,complete,03/29/1990,09/29/1988,02/01/1989,03/29/1990,,,,3,,,262000,,,,apartments,3,2,,,,5,wood frame (5),,1,Outer Richmond,94121,212640102767
8814835,2,new construction wood frame,09/29/1988,0630,058,2241,,Fillmore,St,,,erect a one story commercial bldg,complete,04/18/1991,09/29/1988,03/16/1989,04/18/1991,,,,1,,,203000,,,,retail sales,0,2,,,,5,wood frame (5),,2,Pacific Heights,94115,21265176950
8715619,1,new construction,10/29/1987,6423,009,1000,,Saddleback,Dr,,,4 carports,complete,12/20/1989,10/29/1987,04/21/1989,12/20/1989,,,,,,,63360,,,,prkng garage/private,0,2,,,,4,constr type 4,,,,,773147364971
8815411,2,new construction wood frame,10/11/1988,7032A,042,185,,Niagara,Av,,,,complete,12/01/1989,10/11/1988,12/13/1988,12/01/1989,,,,2,,,145000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,11,Outer Mission,94112,213621218477
8814973,2,new construction wood frame,10/03/1988,1503,032,558,,42nd,Av,,,erect a one story garage,cancelled,06/19/1989,10/03/1988,,,,,,1,,,4000,,,,prkng garage/private,0,2,,,,5,wood frame (5),,1,Outer Richmond,94121,212840101871
8814974,2,new construction wood frame,10/03/1988,1503,033,554,,42nd,Av,,,erect a one story garage,cancelled,11/15/1989,10/03/1988,,,,,,1,,,4000,,,,prkng garage/private,0,2,,,,5,wood frame (5),,1,Outer Richmond,94121,212841101872
8715620,1,new construction,10/29/1987,6423,009,1200,,Ridge,Ln,,,3 carports,complete,06/06/1990,10/29/1987,04/21/1989,06/06/1990,,,,,,,63360,,,,prkng garage/private,0,2,,,,4,constr type 4,,,,,773148364973
8815246,2,new construction wood frame,10/06/1988,0066,006A,850,,Lombard,St,,,erect a four story four unit residential bldg,cancelled,04/09/1993,10/06/1988,,,,,,4,,,300000,415800,,,apartments,4,2,,,,5,wood frame (5),,3,Russian Hill,94133,21343557484
8715621,1,new construction,10/29/1987,6423,009,1300,,Ridge,Ln,,,4 carports,complete,06/06/1990,10/29/1987,04/21/1989,06/06/1990,,,,,,,65280,,,,prkng garage/private,0,2,,,,4,constr type 4,,,,,773149364972
8815167,2,new construction wood frame,10/04/1988,0753,029,1590,,Golden Gate,Av,,A,erect a four story two unit residential bldg,complete,06/29/1990,10/04/1988,10/13/1989,06/29/1990,,,,2,,,250000,,,,2 family dwelling,4,2,,,,5,wood frame (5),,5,Western Addition,94115,21310080916
8815167,2,new construction wood frame,10/04/1988,0753,030,1590,,Golden Gate,Av,,B,erect a four story two unit residential bldg,complete,06/29/1990,10/04/1988,10/13/1989,06/29/1990,,,,2,,,250000,,,,2 family dwelling,4,2,,,,5,wood frame (5),,5,Western Addition,94115,21310180917
8815167,2,new construction wood frame,10/04/1988,0753,031,1590,,Golden Gate,Av,,C,erect a four story two unit residential bldg,complete,06/29/1990,10/04/1988,10/13/1989,06/29/1990,,,,2,,,250000,,,,2 family dwelling,4,2,,,,5,wood frame (5),,5,Western Addition,94115,21310280918
8715622,1,new construction,10/29/1987,6423,009,1400,,Birchwood,Ct,,,3 carports,complete,09/21/1990,10/29/1987,04/21/1989,09/21/1990,,,,0,,,63360,,,,prkng garage/private,0,2,,,,4,constr type 4,,,,,773150364975
8815474,2,new construction wood frame,10/07/1988,2047,008,1843,,10th,Av,,,erect a two story single family dwelling,complete,01/30/1990,10/07/1988,02/21/1989,01/30/1990,,,,2,,,230000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,7,Inner Sunset,94122,213770123302
8815412,2,new construction wood frame,10/11/1988,7032A,054,36,,Rome,St,,,erect a two story single unit dwelling,complete,12/21/1989,10/11/1988,12/20/1988,12/21/1989,,,,2,,,145000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,11,Outer Mission,94112,213622218489
8815407,2,new construction wood frame,10/07/1988,7032A,046,159,,Niagara,Av,,,erect a two story single unit dwelling,complete,12/01/1989,10/07/1988,12/15/1988,12/01/1989,,,,2,,,145000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,11,Outer Mission,94112,213617218481
8815408,2,new construction wood frame,10/07/1988,7032A,045,165,,Niagara,Av,,,erect a two story single unit dwelling,complete,12/01/1989,10/07/1988,12/19/1988,12/01/1989,,,,2,,,145000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,11,Outer Mission,94112,213618218480
8815409,2,new construction wood frame,10/11/1988,7032A,044,175,,Niagara,Av,,,,complete,12/01/1989,10/11/1988,12/14/1988,12/01/1989,,,,2,,,145000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,11,Outer Mission,94112,213619218479
8815410,2,new construction wood frame,10/11/1988,7032A,043,179,,Niagara,Av,,,,complete,12/01/1989,10/11/1988,12/13/1988,12/01/1989,,,,2,,,145000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,11,Outer Mission,94112,213620218478
8815413,2,new construction wood frame,10/11/1988,7032A,055,30,,Rome,St,,,erect a two story single unit dwelling,complete,12/21/1989,10/11/1988,12/20/1988,12/21/1989,,,,2,,,145000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,11,Outer Mission,94112,213623218490
8815414,2,new construction wood frame,10/11/1988,7032A,053,35,,Rome,St,,,erect a two story single unit dwelling,complete,12/21/1989,10/11/1988,12/20/1988,12/21/1989,,,,2,,,145000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,11,Outer Mission,94112,213624218488
8718182S,1,new construction,12/31/1987,1191,036,1,,Shrader,St,,,three story medical office bldg,complete,12/21/1992,12/31/1987,03/30/1988,12/21/1992,,,,3,,,18700000,,,,clinics-medic/dental,0,4,,,,1,constr type 1,Y,,,,773427365892
8815584,2,new construction wood frame,10/12/1988,0528,015,1675,,Filbert,St,,,erect a four story single family dwelling,complete,02/04/1991,10/12/1988,04/12/1989,02/04/1991,,,,4,,,267500,,,,1 family dwelling,1,2,,,,5,wood frame (5),,2,Marina,94123,21418073150
8815743,2,new construction wood frame,10/14/1988,1519,042,6115,,Geary,Bl,,,erect a four story seven unit residential bldg/office/retail,expired,12/10/1991,10/14/1988,07/24/1990,,,,,4,,,1100000,,,,apartments,7,2,,,,5,wood frame (5),,,,94121,858358102576
8815924,2,new construction wood frame,10/20/1988,4147,021,2577,,Harrison,St,,,erect a three story two unit residential bldg,complete,08/21/1989,10/20/1988,03/09/1989,08/21/1989,,,,3,,,240000,,,,2 family dwelling,2,2,,,,5,wood frame (5),,9,Mission,94110,214670171196
8815954,2,new construction wood frame,10/20/1988,1226,016,1878,,Page,St,,,erect a three story four unit residential bldg,complete,11/22/1989,10/20/1988,05/04/1989,11/22/1989,,,,3,,,577845,,,,apartments,4,2,,,,5,wood frame (5),,5,Haight Ashbury,94117,214709240606
8815970,2,new construction wood frame,10/20/1988,2628,042,4538,,17th,St,,,erect a four story two unit residential bldg,issued,06/21/1993,10/20/1988,06/21/1993,,,,,4,,,400000,315000,,,1 family dwelling,2,2,,,,5,wood frame (5),,8,Castro/Upper Market,94117,214724140114
8816498,2,new construction wood frame,10/24/1988,4282A,035,1420,,De Haro,St,2,,to erect 2 family dwellings,complete,10/04/1990,10/24/1988,09/15/1989,10/04/1990,,,,3,,,250000,,,,2 family dwelling,2,2,,,,5,wood frame (5),,10,Potrero Hill,94107,215835255572
8816497,2,new construction wood frame,10/24/1988,4282A,033,1422,,De Haro,St,,,to erect 2 family dwellings,complete,10/04/1990,10/24/1988,09/15/1989,10/04/1990,,,,3,,,250000,,,,2 family dwelling,2,2,,,,5,wood frame (5),,,,94107,215832173227
8816498,2,new construction wood frame,10/24/1988,4282A,032,1420,,De Haro,St,,,to erect 2 family dwellings,complete,10/04/1990,10/24/1988,09/15/1989,10/04/1990,,,,3,,,250000,,,,2 family dwelling,2,2,,,,5,wood frame (5),,,,94107,215833173226
8816498,2,new construction wood frame,10/24/1988,4282A,034,1420,,De Haro,St,1,,to erect 2 family dwellings,complete,10/04/1990,10/24/1988,09/15/1989,10/04/1990,,,,3,,,250000,,,,2 family dwelling,2,2,,,,5,wood frame (5),,10,Potrero Hill,94107,215834255570
