,id,name,serviceProviderCode,hostId,logLevel,enabled,display,hostedACA,isForDemo,state,country,defaultAppActive,databaseType,iconName
106,cf055b04-4a9e-4cfa-b57e-0bf8dbbc8133,petaluma-qa,PETALUMA,4001faae-857c-41f1-8045-e7658e669ab7,90,True,,True,False,CA,US,True,1,
112,acfdad7c-8c2e-4188-893e-0ca0b5fe6e99,OntarioLandscape,ONT,976296d5-a31f-443b-b76d-c1ee9953f9d7,90,True,Ontario Landscape Architecture and Planning,,False,CA,US,True,1,logo.jpg
120,ea7c3427-e44e-49c8-a1dc-0d3611a38249,PINEHURST,PINEHURST,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,Village of Pinehurst,True,False,NC,US,True,2,logo.png
124,cbcb8503-55da-4387-83b7-0d7c142bc5c3,SANTACLARA,SANTACLARA,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,City of Santa Clara,True,False,CA,US,True,2,logo.jpg
128,169c2e00-47e5-423c-b593-0def823e9ab8,DEVGATEWAY,DEVGATEWAY,947bd79f-f524-4fbe-8891-407ad9b54ebc,90,True,,True,False,ON,CA,True,2,
137,f1828d86-ae77-4942-9586-0f1ebd5b76f7,TOB,TOB,dade620e-1382-490a-80ed-9952902b094e,90,True,Town of Brookhaven,,False,NY,US,True,1,
145,a2ad798f-c44c-45e5-87f9-10292952b675,COS,COS,0d21961d-226c-4e48-989a-0257b2f93d05,90,True,"City of Springfield, MA",,False,MA,US,True,2,
147,788e6294-4b6b-414b-8497-1080cf4df36e,SWS,SWS,30a4a660-2bac-48c1-868d-98d6599cf1b6,90,True,Building Codes Division,,False,OR,US,True,1,logo.png
148,428ec60d-0774-4286-8ea1-1097c6c6010a,SPRINGFIELD,SPRINGFIELD,30a4a660-2bac-48c1-868d-98d6599cf1b6,90,True,Springfield,True,False,OR,US,True,1,logo.png
150,f65484e5-ef72-42a5-8ea4-10e1774cb120,UMATILLA_CO,UMATILLA_CO,30a4a660-2bac-48c1-868d-98d6599cf1b6,90,True,Umatilla County,True,False,OR,US,True,1,logo.png
157,1f868091-797f-466a-b1f6-118d98a5460d,DRAGON,GAM,0fca40f7-bef6-4c2b-abd4-95569fd5b69d,90,True,,,False,CA,US,True,2,
161,2c1d3193-7d43-411e-be5f-12368048836a,GILLIAM_CO,GILLIAM_CO,30a4a660-2bac-48c1-868d-98d6599cf1b6,90,True,Gilliam County,True,False,OR,US,True,1,logo.png
162,c10ce6f1-a996-4c7f-b46c-124475cb2fe0,DPR-STANDARDTEST,STANDARDTEST,43d55a68-e169-4a54-af3a-2ec21e9763a0,90,True,,,False,CA,US,True,1,
166,413073f8-1f57-4d0b-a85a-12e93189475c,CLOUD12,CLOUD12,c19b975c-f24f-4900-a809-4129e8a96d30,90,True,_Cloud12-DEMO,True,False,CA,US,True,1,logo.png
170,205e3664-f069-4fce-9217-136d4f1e5a58,FOREST_GROVE,FOREST_GROVE,30a4a660-2bac-48c1-868d-98d6599cf1b6,90,True,Forest Grove,True,False,OR,US,True,1,logo.jpg
174,b5e2492c-caf5-4648-b749-13f5b157a454,BROOKLINE,BROOKLINE,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,,True,False,MA,US,True,2,
176,171ae04c-1ba6-4f82-840c-1431acf49a7f,AZLJCMG_WO,LJCMG,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,LJCMG,,False,KY,US,True,2,
179,2165dc78-9e1b-45f8-91d0-14789ab67832,GRANDRAPIDS,GRANDRAPIDS,f2ec466b-4449-449c-9dac-1f4dedfcfe4b,90,True,"City of Grand Rapids, Michigan",True,False,MI,US,True,2,logo.png
180,e319f87c-0d28-4c0a-a048-1495471004cb,DSL,DSL,dae664fe-c79d-4803-88c8-275317c6ce1b,90,True,DSL,True,False,OR,US,True,2,
182,7b3e24ab-3c28-4de1-b94c-14ba9c9aba62,CHESTERFIELD,CHESTERFIELD,52f80df3-26db-462a-8c4c-125fdb29ce97,100,True,Chesterfield,True,False,VA,US,True,2,
187,1058cb36-c8db-4e19-9393-15358ce86a44,LEBANON,LEBANON,30a4a660-2bac-48c1-868d-98d6599cf1b6,90,True,Lebanon,True,False,OR,US,True,1,logo.png
190,d1123de2-7818-48ed-b987-1597dd4447cc,CLOUD03,CLOUD03,c19b975c-f24f-4900-a809-4129e8a96d30,90,True,_Cloud03-DEMO,True,False,CA,US,True,1,logo.png
191,55eaa1b4-ac2b-4fb1-a92a-15cfface10ad,EMCITY,EMCITY,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,EMCITY,True,False,UT,US,True,2,
195,733866eb-75fd-409c-8146-163bd1262723,WELDTEST,WELDTEST,93b8d71d-59b3-4d07-9fbf-2763ab611533,90,True,,,False,CO,US,True,2,
201,1c91f5d8-aefb-400f-91e8-1700ca4d8567,DENPrkDev,Denver,6255d00f-509c-4549-8064-34320f72c62e,90,True,DENPrkDev,True,False,CO,US,True,1,
202,5247dca5-7d4a-4c6e-a7b4-1708c45d5965,COS-BLD,COS,0d21961d-226c-4e48-989a-0257b2f93d05,90,True,COS Building Dept.,,False,MA,US,True,2,
205,bba21460-92e7-4fbd-8c50-174bcf728055,PITTSBURG,PITTSBURG,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,PITTSBURG,True,False,CA,US,True,2,logo.jpg
207,29646c94-b98b-477a-85dd-17774f662d36,POLKCO,POLKCO,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,POLKCO,True,False,FL,US,True,2,logo.jpg
215,ad3ce69e-a639-4ce9-b151-17d51a175206,COF,COF,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,City of Fremont,True,False,CA,US,True,2,logo.jpg
217,d7b76442-d445-4a03-b118-1803f234d787,CABARRUS,CABARRUS,d11302cd-07b3-459e-92de-ededdd8107d5,90,True,Cabarrus County Central Permitting,True,False,NC,US,True,2,logo.png
222,c3f24e36-0a73-47d6-8861-188d86ccfb51,MONTEREYEH,MONTEREYEH,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,Monterey County EnvHealth,True,False,CA,US,True,2,logo.jpg
223,3edbcf67-bd75-4a21-ab53-18cbc1e60952,DEQ_COOS,DEQ_COOS,30a4a660-2bac-48c1-868d-98d6599cf1b6,90,True,DEQ Coos,,False,OR,US,True,1,logo.jpg
226,a4841514-7417-43ce-8440-190ed6d3db0c,BERKELEY,BERKELEY,e0f19e6f-a690-41f0-a72b-e4665c69c958,90,True,"Berkeley,  CA",True,False,CA,US,True,2,logo.jpg
227,7f4254d2-db84-4e3a-863b-192e2c038102,BALTCO,BALTCO,6c79edb8-1ba2-44e9-9734-153217e1e717,90,True,Baltimore County Government,,False,MD,US,True,1,logo.jpg
232,9f4dbbbf-a87b-4f73-87b6-198abd2caceb,JCCAL,JCCAL,88189ee7-2bfa-4a96-b6ca-7ddb28db2fc7,100,True,"Jefferson County, AL",True,False,AL,US,True,2,
235,98b7a894-535f-4d8b-ad60-19ec9fe5ec01,MCESD,MCESD,22ddb0e5-ed18-4f15-9195-06ff081c4051,90,True,Environmental Services,True,False,AZ,US,True,2,logo.png
243,7d195af8-5e04-4f95-b68e-1a9eac62d7b9,MANATEE,MANATEE,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,MANATEE,True,False,FL,US,True,2,
250,77130dda-8fb0-44bc-8971-1b970bc5c838,DOUGLAS,DOUGLAS,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,DOUGLAS,True,False,NV,US,True,2,
252,7379034f-5d84-46e3-a4d8-1c0725981ecf,HOWARD,HOWARD,522005ce-74e3-4883-af59-b1b44ba47aca,90,True,,,False,MD,US,True,2,
253,5d8d655e-76d6-4fa2-a5c5-1c51a5b7c79f,ROCHESTER,ROCHESTER,b9cb560f-5ec5-4aff-9982-c05dce107bb3,90,True,City of Rochester,True,False,MN,US,True,2,
259,c90889fd-5b1b-461e-97dd-1cd87cad2b8b,CLOUD15,CLOUD15,c19b975c-f24f-4900-a809-4129e8a96d30,90,True,_Cloud15-DEMO,True,False,CA,US,True,1,logo.png
267,0cb90ca8-2ac7-4562-9212-1daf10d539ad,WASHCOMD,WASHCOMD,314ad9bc-8900-4409-8377-b02db10b10b6,90,True,Washington County,True,False,MD,US,True,2,logo.jpg
269,62f58bf2-e5e7-452e-b701-1dcf4d799e83,CFW,CFW,e2797143-9c5b-461d-9b91-a2e6efca5f8c,90,True,City of Fort Worth,True,False,TX,US,True,2,logo.jpg
271,7c45a87e-9b87-439c-8ee3-1e59474faf62,SLCREF-HAZE,SLCREF,0ca41fb9-60c3-42b5-ae75-081903022e09,90,True,SLC HAZE,True,False,UT,US,True,2,logo.png
284,e7424653-a30d-427c-b9dc-207b135ad495,SMS,SMS,eb6437fa-b3a4-4b1e-b2fe-0b15557e6755,90,True,Solution Management System (SMS),True,False,UT,US,True,2,
287,83e95242-cbe1-42c9-99ba-208a1ceaae6e,PHOENIX,PHOENIX,30a4a660-2bac-48c1-868d-98d6599cf1b6,90,True,Phoenix,True,False,OR,US,True,1,
289,64ad0887-84e1-4528-a4dc-211370f7a5ef,CLOUD01,CLOUD01,c19b975c-f24f-4900-a809-4129e8a96d30,90,True,_Cloud01-DEMO,True,False,CA,US,True,1,logo.png
305,49afe872-fa4a-4d44-b732-23552d137a01,CVB,CVB,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,City of Virginia Beach,True,False,VA,US,True,2,logo.png
312,423221fd-b0fe-4c29-89a6-23b56a31ca03,ROWA,BARRIE,947bd79f-f524-4fbe-8891-407ad9b54ebc,90,True,,True,False,ON,CA,True,2,
313,01fbfceb-22ac-4671-acfc-23e1051c9c39,LJCMG_WO,LJCMG,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,LJCMG,True,False,KY,US,True,2,
314,0807edd9-5ac7-4b53-804d-23e415232ba3,WESTSAC,WESTSAC,f5742f92-5842-440e-8974-5d9422815bd6,90,True,"City of West Sacramento, CA",True,False,CA,US,True,2,logo.jpg
316,335f2057-0ee1-4f29-b260-23f00671c1ed,DCRA,DCRA,34e05d0f-88de-4828-aaa6-99cfbf3f05e4,90,True,,True,False,DC,US,True,1,
317,eaa992ac-ff63-40d6-8f50-240987c8e10b,CHULAVISTA,CHULAVISTA,9ab97f41-26b2-4f77-bb92-5e7b28046dd4,90,True,City of Chula Vista,True,False,CA,US,True,2,logo.png
323,3376d939-d2b9-4f47-ae75-247dbd731f71,WINTER,WINTER,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,"Winter Park, CO",True,False,CO,US,True,2,
329,6a743ce7-4098-41eb-8bad-254fa5d0a1a4,StandardTest-SQL432-test,Standardtest,506cb79e-7ce9-4624-8d55-540e0c630f43,90,True,adn,,False,CA,US,True,2,logo.jpg
331,12ef0e6f-b43e-4ac1-b62b-25927ca4f01d,AZLJCMG,LJCMG,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,LJCMG,,False,KY,US,True,2,
336,bde4284b-af3c-46e6-95f0-25dc1a477705,CCC,CCC,b66229b0-a796-420c-930e-711c5e97f8dd,90,True,Contra Costa County,True,False,CA,US,True,2,
337,8a58c3dd-2ad7-4c3a-adde-261dbfe5d932,PEKIN,PEKIN,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,,True,False,IL,US,True,2,
342,a81abdaa-3202-4f12-bea2-26a30968e6d5,PUBSAFETY_DEV,PUBSAFETY_DEV,9151c5dc-34ef-4e1d-9ae7-f40fe38d544d,90,True,PUBLIC SAFETY,,False,CO,US,True,1,
344,25440c43-7266-4d39-9739-26b3f8cdba24,LASCRUCES,LASCRUCES,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,City of Las Cruces,True,False,NM,US,True,2,
345,ce9b198e-f66e-406c-97a1-26d811182514,ADDOH,ADDOH,3ec0b90e-8316-45cd-aff9-910ad93f80b0,90,True,Abu Dhabi Department of Health,True,False,Abu Dhabi,AE,True,2,
346,cc26e2c0-9744-4d9f-9615-2719c91009b9,HILLSBORO,HILLSBORO,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,HILLSBORO,True,False,OR,US,True,2,
357,a188a29a-fdf0-440c-aa2b-287b79a20bed,SACCO,SACCO,0050c2c5-0aee-4e7d-971a-58c8964bada9,90,True,,,False,CA,US,True,1,
361,e8261c3a-0cce-43df-b74f-2902f4d12f8d,CHATHAM,CHATHAM,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,"Town of Chatham, MA",True,False,MA,US,True,2,
364,8254e90a-734c-4fb3-8034-291642bcd441,ABC_DEV,ABC_DEV,9151c5dc-34ef-4e1d-9ae7-f40fe38d544d,90,True,ABC_DEV,True,False,CA,US,True,1,
366,f92fdb73-4110-41ef-ba3c-293f7307f71a,MBARD,MBARD,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,,True,False,CA,US,True,2,
